plant_scientific_name,plant_common_name,plant_type,evidence_source,source_url_or_citation,audubon_attributes_original,audubon_attributes_normalized,resource_original,resource_normalized,resource_claim_type,direct_bird_interaction
Rhus aromatica,Fragrant Sumac,"Shrubs, Vines",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/fragrant-sumac?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Rhus aromatica,Fragrant Sumac,"Shrubs, Vines",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/fragrant-sumac?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Rhus aromatica,Fragrant Sumac,"Shrubs, Vines",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/fragrant-sumac?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Solidago nemoralis,Gray Goldenrod,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/gray-goldenrod?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Solidago nemoralis,Gray Goldenrod,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/gray-goldenrod?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Solidago nemoralis,Gray Goldenrod,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/gray-goldenrod?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Solidago nemoralis,Gray Goldenrod,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/gray-goldenrod?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Muhlenbergia capillaris,Hairawn Muhly,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/hairawn-muhly?zipcode=78666,Seeds,seeds,Seeds,seeds,plant-level Audubon attribute,False
Chasmanthium latifolium,Indian Wood-Oats,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/indian-wood-oats?zipcode=78666,Fruit; Nuts; Seeds,fruit; nuts; seeds,Fruit,fruit,plant-level Audubon attribute,False
Chasmanthium latifolium,Indian Wood-Oats,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/indian-wood-oats?zipcode=78666,Fruit; Nuts; Seeds,fruit; nuts; seeds,Nuts,nuts,plant-level Audubon attribute,False
Chasmanthium latifolium,Indian Wood-Oats,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/indian-wood-oats?zipcode=78666,Fruit; Nuts; Seeds,fruit; nuts; seeds,Seeds,seeds,plant-level Audubon attribute,False
Setaria macrostachya,Large Spike Bristlegrass,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/large-spike-bristlegrass?zipcode=78666,Seeds,seeds,Seeds,seeds,plant-level Audubon attribute,False
Monarda citriodora,Lemon Beebalm,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/lemon-beebalm?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Butterflies,butterflies,plant-level Audubon attribute,False
Monarda citriodora,Lemon Beebalm,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/lemon-beebalm?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Caterpillars,caterpillars,plant-level Audubon attribute,False
Monarda citriodora,Lemon Beebalm,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/lemon-beebalm?zipcode=78666,Butterflies; Caterpillars; Nectar,butterflies; caterpillars; nectar,Nectar,nectar,plant-level Audubon attribute,False
Schizachyrium scoparium,Little False Bluestem,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/little-false-bluestem?zipcode=78666,Butterflies; Caterpillars; Seeds,butterflies; caterpillars; seeds,Butterflies,butterflies,plant-level Audubon attribute,False
Schizachyrium scoparium,Little False Bluestem,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/little-false-bluestem?zipcode=78666,Butterflies; Caterpillars; Seeds,butterflies; caterpillars; seeds,Caterpillars,caterpillars,plant-level Audubon attribute,False
Schizachyrium scoparium,Little False Bluestem,Grasses,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/little-false-bluestem?zipcode=78666,Butterflies; Caterpillars; Seeds,butterflies; caterpillars; seeds,Seeds,seeds,plant-level Audubon attribute,False
Rhus microphylla,Little-Leaf Sumac,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/little-leaf-sumac?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Butterflies,butterflies,plant-level Audubon attribute,False
Rhus microphylla,Little-Leaf Sumac,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/little-leaf-sumac?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Caterpillars,caterpillars,plant-level Audubon attribute,False
Rhus microphylla,Little-Leaf Sumac,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/little-leaf-sumac?zipcode=78666,Butterflies; Caterpillars; Fruit,butterflies; caterpillars; fruit,Fruit,fruit,plant-level Audubon attribute,False
Quercus virginiana,Live Oak,"Evergreen, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/live-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Quercus virginiana,Live Oak,"Evergreen, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/live-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Quercus virginiana,Live Oak,"Evergreen, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/live-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Quercus virginiana,Live Oak,"Evergreen, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/live-oak?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Ziziphus obtusifolia,Lotebush,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/lotebush?zipcode=78666,Fruit; Nuts,fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Ziziphus obtusifolia,Lotebush,"Shrubs, Trees",National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/lotebush?zipcode=78666,Fruit; Nuts,fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
Helianthus maximiliani,Maximilian Sunflower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/maximilian-sunflower?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Butterflies,butterflies,plant-level Audubon attribute,False
Helianthus maximiliani,Maximilian Sunflower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/maximilian-sunflower?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Caterpillars,caterpillars,plant-level Audubon attribute,False
Helianthus maximiliani,Maximilian Sunflower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/maximilian-sunflower?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Fruit,fruit,plant-level Audubon attribute,False
Helianthus maximiliani,Maximilian Sunflower,Annuals/Per.,National Audubon Society Native Plants,https://www.audubon.org/native-plants/species/maximilian-sunflower?zipcode=78666,Butterflies; Caterpillars; Fruit; Nuts,butterflies; caterpillars; fruit; nuts,Nuts,nuts,plant-level Audubon attribute,False
